;_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/#
;
;	Module		:Item.csv
;	Facility	:iniファイル(アイテム)。
;				 Item関係のデータを設定する。
;
;	Licence		:ライセンスフリー。
;
;_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/#

;-------------------------------------------------
;[000-039] 非消費道具
;-------------------------------------------------
000,로터,1000
001,E마사지기,5000
002,바이브,5000
003,아날바이브,7000

;xxx,クリキャップ,100
;xxx,ニプルキャップ,100
;xxx,オナホール,100
;xxx,アナルビーズ,100
;xxx,クリキャップ,100


;- 素材置き場
;xxx,ペニスバンド,100
;xxx,空気ポンプ,100
;xxx,拡張バルーン,100
;xxx,浣腸器＋プラグ,100
;xxx,二プルキャップ,100
;xxx,搾乳器,100
;xxx,鞭,100
;xxx,針,100
;xxx,アイマスク,100
;xxx,縄,100,
;xxx,ボールギャグ,100,
;xxx,ビデオカメラ,100,;
;xxx,カメラ,100,;
;xxx,プレイマット,100,;목욕실플레이의 폭이 넓어진다
;xxx,大鏡,100,;수치플레이가 가능해진다
;xxx,首輪,100,;야외 플레이가 가능해진다
;xxx,エプロン,100,;새댁 플레이가 가능해진다
;xxx,電極プラグ,100,
;xxx,触手使役術,100,;촉수조교가 가능해진다
;xxx,衣装セット,100,;노예의 의상 폭이 늘어난다.
;xxx,三角木馬,100,
;xxx,リボン,100,

;-------------------------------------------------
;[040-054] 消費道具
;-------------------------------------------------
40,로션,500,
41,미약,3000,
;-------------------------------------------------
;[060-099] その他道具
;-------------------------------------------------

089,【도구:음핵성장제】,50000,;후타나리화
090,【도구:배란유발제】,2000,;임신용
